#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 5619775676; Pedro Antonio Romero Morales; 28; 12; 14/02/2015; 14/02/2027; 3; 1(A); A1; Alto; 1 Hora(s); Narcotrafico
PPL 21; 7315748256; Victor Adrian Paredes Gomez; 45; 28; 15/08/2001; 15/08/2029; 5; 1(A); A21; Alto; 1 Hora(s); Narcotrafico
PPL 22; 7624751194; Dario Julian Cuenca Sanchez; 22; 11; 12/07/2022; 12/07/2033; 9; 1(A); A22; Alto; 1 Hora(s); Narcotrafico
PPL 23; 9688540582; Mario Antonio Garcia Rivera; 29; 13; 23/04/2016; 23/04/2029; 5; 1(A); A23; Alto; 1 Hora(s); Narcotrafico
PPL 24; 4578037087; Carlos Antonio Paredes Ramirez; 31; 21; 28/01/2013; 28/01/2034; 10; 1(A); A24; Alto; 1 Hora(s); Narcotrafico
PPL 25; 9892618367; Dario Antonio Gonzales Sanchez; 39; 22; 14/02/2018; 14/02/2040; 16; 1(A); A25; Alto; 1 Hora(s); Homicidio
PPL 26; 2126414649; Roberto Antonio Perero Ramirez; 43; 26; 10/04/2002; 10/04/2028; 4; 1(A); A26; Alto; 1 Hora(s); Homicidio
PPL 27; 9732787110; Roberto Paulo Perero Roman; 64; 50; 20/11/1980; 20/11/2030; 6; 1(A); A27; Alto; 1 Hora(s); Homicidio
PPL 28; 3066151919; Fabian Antonio Torres Ramirez; 37; 20; 08/02/2007; 08/02/2027; 3; 1(A); A28; Alto; 1 Hora(s); Homicidio
PPL 29; 6619118183; Dario Sergio Romero Ramirez; 53; 39; 10/09/1991; 10/09/2030; 6; 1(A); A29; Alto; 1 Hora(s); Homicidio
PPL 30; 5465660866; Dario Cesar Garcia Sanchez; 48; 26; 17/02/2018; 17/02/2044; 20; 1(A); A30; Alto; 1 Hora(s); Homicidio
PPL 31; 2444886148; Roberto Julian Paredes Gomez; 36; 15; 05/04/2013; 05/04/2028; 4; 1(A); A31; Alto; 1 Hora(s); Narcotrafico
PPL 32; 3971877098; Dario Adrian Guerrero Ramirez; 41; 24; 09/05/2003; 09/05/2027; 3; 1(A); A32; Alto; 1 Hora(s); Narcotrafico
PPL 33; 4155214155; Dario Paulo Paredes Morales; 41; 8; 13/01/2019; 13/01/2027; 3; 1(A); A33; Alto; 1 Hora(s); Homicidio
PPL 34; 2330568859; Mario Antonio Garcia Roman; 51; 34; 28/11/1992; 28/11/2026; 2; 1(A); A34; Alto; 1 Hora(s); Homicidio
PPL 35; 4689615688; Pedro Julian Cuenca Morales; 55; 38; 13/11/1991; 13/11/2029; 5; 1(A); A35; Alto; 1 Hora(s); Narcotrafico
PPL 36; 1693550966; Carlos Antonio Guerrero Hidalgo; 49; 17; 25/01/2011; 25/01/2028; 4; 1(A); A36; Alto; 1 Hora(s); Homicidio
PPL 37; 2527988523; Roberto Diego Romero Rivera; 38; 24; 19/02/2005; 19/02/2029; 5; 1(A); A37; Alto; 1 Hora(s); Narcotrafico
PPL 38; 1236214461; Roberto Cesar Perero Sanchez; 41; 3; 27/02/2024; 27/02/2027; 3; 1(A); A38; Alto; 1 Hora(s); Homicidio
PPL 39; 5458733105; Michael Adrian Paredes Rivera; 47; 26; 01/12/2004; 01/12/2030; 6; 1(A); A39; Alto; 1 Hora(s); Homicidio
PPL 40; 4957838102; Dario Diego Torres Reyes; 48; 21; 04/08/2005; 04/08/2026; 2; 1(A); A40; Alto; 1 Hora(s); Homicidio
PPL 41; 2768566667; Fabian Sergio Perero Roman; 35; 12; 26/03/2016; 26/03/2028; 4; 1(A); A1; Alto; 1 Hora(s); Homicidio
PPL 42; 6446149015; Roberto Pablo Cuenca Ramirez; 45; 10; 26/10/2017; 26/10/2027; 3; 1(A); A2; Alto; 1 Hora(s); Narcotrafico
PPL 43; 7754527129; Roberto Adrian Paredes Reyes; 52; 34; 13/02/1994; 13/02/2028; 4; 1(A); A3; Alto; 1 Hora(s); Narcotrafico
PPL 44; 2936811295; Mario Sergio Gonzales Espinosa; 45; 27; 18/08/2000; 18/08/2027; 3; 1(A); A4; Alto; 1 Hora(s); Homicidio
PPL 45; 9772544029; Gonzalo Antonio Paredes Hidalgo; 52; 36; 26/12/1992; 26/12/2028; 4; 1(A); A5; Alto; 1 Hora(s); Narcotrafico
PPL 46; 9901867779; Gonzalo Antonio Torres Ramirez; 32; 6; 27/03/2019; 27/03/2025; 1; 1(A); A6; Alto; 1 Hora(s); Homicidio
PPL 47; 5034677998; Roberto Paulo Torres Sanchez; 53; 38; 21/09/1991; 21/09/2029; 5; 1(A); A7; Alto; 1 Hora(s); Homicidio
PPL 48; 5877835682; Michael Pablo Cevallos Sanchez; 37; 21; 17/09/2006; 17/09/2027; 3; 1(A); A8; Alto; 1 Hora(s); Narcotrafico
PPL 49; 8736478499; Victor Paulo Cevallos Ramirez; 52; 36; 09/03/1991; 09/03/2027; 3; 1(A); A9; Alto; 1 Hora(s); Narcotrafico
PPL 50; 4606212918; Victor Sergio Cevallos Ramirez; 35; 18; 30/08/2008; 30/08/2026; 2; 1(A); A10; Alto; 1 Hora(s); Narcotrafico
PPL 51; 6854012874; Roberto Angel Cevallos Sanchez; 60; 45; 08/10/1983; 08/10/2028; 4; 1(A); A11; Alto; 1 Hora(s); Narcotrafico
PPL 52; 9638338857; Michael Cesar Cuenca Espinosa; 63; 49; 02/09/1981; 02/09/2030; 6; 1(A); A12; Alto; 1 Hora(s); Homicidio
PPL 53; 3900639734; Michael Pablo Paredes Gomez; 57; 41; 20/07/1986; 20/07/2027; 3; 1(A); A13; Alto; 1 Hora(s); Homicidio
PPL 54; 5134516057; Victor Diego Romero Ramirez; 50; 21; 06/03/2005; 06/03/2026; 2; 1(A); A14; Alto; 1 Hora(s); Narcotrafico
PPL 55; 5332850355; Gonzalo Julian Torres Ramirez; 36; 16; 26/02/2023; 26/02/2039; 15; 1(A); A15; Alto; 1 Hora(s); Narcotrafico
PPL 56; 6082685210; Roberto Antonio Perero Hidalgo; 43; 7; 14/04/2022; 14/04/2029; 5; 1(A); A16; Alto; 1 Hora(s); Homicidio
PPL 57; 3347188802; Pedro Antonio Paredes Rivera; 36; 20; 18/07/2007; 18/07/2027; 3; 1(A); A17; Alto; 1 Hora(s); Narcotrafico
PPL 58; 9138948484; Mario Adrian Gonzales Espinosa; 57; 41; 06/06/1987; 06/06/2028; 4; 1(A); A18; Alto; 1 Hora(s); Homicidio
PPL 59; 1590945375; Pedro Julian Torres Sanchez; 34; 21; 10/07/2009; 10/07/2030; 6; 1(A); A19; Alto; 1 Hora(s); Homicidio
PPL 60; 1362922945; Fabian Antonio Romero Hidalgo; 53; 39; 03/10/1991; 03/10/2030; 6; 1(A); A20; Alto; 1 Hora(s); Homicidio
PPL 61; 7043331518; Michael Antonio Garcia Morales; 36; 17; 06/02/2019; 06/02/2036; 12; 1(A); A21; Alto; 1 Hora(s); Homicidio
PPL 62; 7161031069; Victor Pablo Guerrero Sanchez; 47; 22; 11/03/2008; 11/03/2030; 6; 1(A); A22; Alto; 1 Hora(s); Homicidio
PPL 63; 6304694225; Pedro Julian Cuenca Hidalgo; 54; 35; 19/05/1992; 19/05/2027; 3; 1(A); A23; Alto; 1 Hora(s); Homicidio
PPL 64; 6360897809; Gonzalo Antonio Cevallos Roman; 50; 29; 11/03/2012; 11/03/2041; 17; 1(A); A24; Alto; 1 Hora(s); Homicidio
PPL 65; 3519046138; Gonzalo Angel Guerrero Reyes; 33; 19; 03/10/2012; 03/10/2031; 7; 1(A); A25; Alto; 1 Hora(s); Homicidio
PPL 66; 6153526939; Michael Julian Cevallos Hidalgo; 51; 36; 17/06/1992; 17/06/2028; 4; 1(A); A26; Alto; 1 Hora(s); Narcotrafico
PPL 67; 2877156013; Mario Julian Romero Sanchez; 30; 10; 28/01/2020; 28/01/2030; 6; 1(A); A27; Alto; 1 Hora(s); Homicidio
PPL 68; 1858395500; Carlos Angel Guerrero Sanchez; 28; 19; 11/06/2017; 11/06/2036; 12; 1(A); A28; Alto; 1 Hora(s); Homicidio
PPL 69; 9843882721; Roberto Adrian Cuenca Reyes; 46; 21; 15/11/2010; 15/11/2031; 7; 1(A); A29; Alto; 1 Hora(s); Narcotrafico
PPL 70; 7335272387; Dario Sergio Cevallos Sanchez; 28; 7; 25/08/2021; 25/08/2028; 4; 1(A); A30; Alto; 1 Hora(s); Narcotrafico
PPL 71; 8129074548; Dario Adrian Garcia Sanchez; 47; 30; 08/08/1997; 08/08/2027; 3; 1(A); A31; Alto; 1 Hora(s); Narcotrafico
PPL 72; 9403693461; Pedro Angel Romero Ramirez; 29; 5; 31/06/2021; 31/06/2026; 2; 1(A); A32; Alto; 1 Hora(s); Narcotrafico
PPL 73; 2611629380; Roberto Sergio Paredes Roman; 52; 32; 04/01/1994; 04/01/2026; 2; 1(A); A33; Alto; 1 Hora(s); Narcotrafico
PPL 74; 7399934937; Fabian Cesar Guerrero Hidalgo; 49; 34; 24/02/1996; 24/02/2030; 6; 1(A); A34; Alto; 1 Hora(s); Homicidio
PPL 75; 7260262419; Roberto Antonio Guerrero Hidalgo; 33; 29; 30/03/2022; 30/03/2051; 27; 1(A); A35; Alto; 1 Hora(s); Homicidio
PPL 76; 4639668682; Pedro Angel Guerrero Rivera; 54; 35; 10/02/1992; 10/02/2027; 3; 1(A); A36; Alto; 1 Hora(s); Narcotrafico
PPL 77; 4360060091; Pedro Cesar Torres Morales; 42; 26; 27/03/2001; 27/03/2027; 3; 1(A); A37; Alto; 1 Hora(s); Homicidio
PPL 78; 4247690198; Victor Antonio Paredes Morales; 44; 29; 22/11/1999; 22/11/2028; 4; 1(A); A38; Alto; 1 Hora(s); Homicidio
PPL 79; 1606896086; Roberto Antonio Cevallos Hidalgo; 30; 23; 24/04/2018; 24/04/2041; 17; 1(A); A39; Alto; 1 Hora(s); Homicidio
PPL 80; 6789045625; Carlos Cesar Perero Reyes; 40; 25; 23/10/2004; 23/10/2029; 5; 1(A); A40; Alto; 1 Hora(s); Homicidio
