#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 5619775676; Pedro Antonio Romero Morales; 28; 12; 14/02/2015; 14/02/2027; 3; 1(A); A1; Alto; 1 Hora(s); Narcotrafico
PPL 21; 7315748256; Victor Adrian Paredes Gomez; 45; 28; 15/08/2001; 15/08/2029; 5; 1(A); A21; Alto; 1 Hora(s); Narcotrafico
PPL 22; 7624751194; Dario Julian Cuenca Sanchez; 22; 11; 12/07/2022; 12/07/2033; 9; 1(A); A22; Alto; 1 Hora(s); Narcotrafico
PPL 23; 9688540582; Mario Antonio Garcia Rivera; 29; 13; 23/04/2016; 23/04/2029; 5; 1(A); A23; Alto; 1 Hora(s); Narcotrafico
PPL 24; 4578037087; Carlos Antonio Paredes Ramirez; 31; 21; 28/01/2013; 28/01/2034; 10; 1(A); A24; Alto; 1 Hora(s); Narcotrafico
PPL 25; 9892618367; Dario Antonio Gonzales Sanchez; 39; 22; 14/02/2018; 14/02/2040; 16; 1(A); A25; Alto; 1 Hora(s); Homicidio
PPL 26; 2126414649; Roberto Antonio Perero Ramirez; 43; 26; 10/04/2002; 10/04/2028; 4; 1(A); A26; Alto; 1 Hora(s); Homicidio
PPL 27; 9732787110; Roberto Paulo Perero Roman; 64; 50; 20/11/1980; 20/11/2030; 6; 1(A); A27; Alto; 1 Hora(s); Homicidio
PPL 28; 3066151919; Fabian Antonio Torres Ramirez; 37; 20; 08/02/2007; 08/02/2027; 3; 1(A); A28; Alto; 1 Hora(s); Homicidio
PPL 29; 6619118183; Dario Sergio Romero Ramirez; 53; 39; 10/09/1991; 10/09/2030; 6; 1(A); A29; Alto; 1 Hora(s); Homicidio
PPL 30; 5465660866; Dario Cesar Garcia Sanchez; 48; 26; 17/02/2018; 17/02/2044; 20; 1(A); A30; Alto; 1 Hora(s); Homicidio
PPL 31; 2444886148; Roberto Julian Paredes Gomez; 36; 15; 05/04/2013; 05/04/2028; 4; 1(A); A31; Alto; 1 Hora(s); Narcotrafico
PPL 32; 3971877098; Dario Adrian Guerrero Ramirez; 41; 24; 09/05/2003; 09/05/2027; 3; 1(A); A32; Alto; 1 Hora(s); Narcotrafico
PPL 33; 4155214155; Dario Paulo Paredes Morales; 41; 8; 13/01/2019; 13/01/2027; 3; 1(A); A33; Alto; 1 Hora(s); Homicidio
PPL 34; 2330568859; Mario Antonio Garcia Roman; 51; 34; 28/11/1992; 28/11/2026; 2; 1(A); A34; Alto; 1 Hora(s); Homicidio
PPL 35; 4689615688; Pedro Julian Cuenca Morales; 55; 38; 13/11/1991; 13/11/2029; 5; 1(A); A35; Alto; 1 Hora(s); Narcotrafico
PPL 36; 1693550966; Carlos Antonio Guerrero Hidalgo; 49; 17; 25/01/2011; 25/01/2028; 4; 1(A); A36; Alto; 1 Hora(s); Homicidio
PPL 37; 2527988523; Roberto Diego Romero Rivera; 38; 24; 19/02/2005; 19/02/2029; 5; 1(A); A37; Alto; 1 Hora(s); Narcotrafico
PPL 38; 1236214461; Roberto Cesar Perero Sanchez; 41; 3; 27/02/2024; 27/02/2027; 3; 1(A); A38; Alto; 1 Hora(s); Homicidio
PPL 39; 5458733105; Michael Adrian Paredes Rivera; 47; 26; 01/12/2004; 01/12/2030; 6; 1(A); A39; Alto; 1 Hora(s); Homicidio
PPL 40; 4957838102; Dario Diego Torres Reyes; 48; 21; 04/08/2005; 04/08/2026; 2; 1(A); A40; Alto; 1 Hora(s); Homicidio
PPL 41; 2768566667; Fabian Sergio Perero Roman; 35; 12; 26/03/2016; 26/03/2028; 4; 1(A); A1; Alto; 1 Hora(s); Homicidio
PPL 42; 6446149015; Roberto Pablo Cuenca Ramirez; 45; 10; 26/10/2017; 26/10/2027; 3; 1(A); A2; Alto; 1 Hora(s); Narcotrafico
PPL 43; 7754527129; Roberto Adrian Paredes Reyes; 52; 34; 13/02/1994; 13/02/2028; 4; 1(A); A3; Alto; 1 Hora(s); Narcotrafico
PPL 44; 2936811295; Mario Sergio Gonzales Espinosa; 45; 27; 18/08/2000; 18/08/2027; 3; 1(A); A4; Alto; 1 Hora(s); Homicidio
PPL 45; 9772544029; Gonzalo Antonio Paredes Hidalgo; 52; 36; 26/12/1992; 26/12/2028; 4; 1(A); A5; Alto; 1 Hora(s); Narcotrafico
PPL 46; 9901867779; Gonzalo Antonio Torres Ramirez; 32; 6; 27/03/2019; 27/03/2025; 1; 1(A); A6; Alto; 1 Hora(s); Homicidio
PPL 47; 5034677998; Roberto Paulo Torres Sanchez; 53; 38; 21/09/1991; 21/09/2029; 5; 1(A); A7; Alto; 1 Hora(s); Homicidio
PPL 48; 5877835682; Michael Pablo Cevallos Sanchez; 37; 21; 17/09/2006; 17/09/2027; 3; 1(A); A8; Alto; 1 Hora(s); Narcotrafico
PPL 49; 8736478499; Victor Paulo Cevallos Ramirez; 52; 36; 09/03/1991; 09/03/2027; 3; 1(A); A9; Alto; 1 Hora(s); Narcotrafico
PPL 50; 4606212918; Victor Sergio Cevallos Ramirez; 35; 18; 30/08/2008; 30/08/2026; 2; 1(A); A10; Alto; 1 Hora(s); Narcotrafico
PPL 51; 6854012874; Roberto Angel Cevallos Sanchez; 60; 45; 08/10/1983; 08/10/2028; 4; 1(A); A11; Alto; 1 Hora(s); Narcotrafico
PPL 52; 9638338857; Michael Cesar Cuenca Espinosa; 63; 49; 02/09/1981; 02/09/2030; 6; 1(A); A12; Alto; 1 Hora(s); Homicidio
PPL 53; 3900639734; Michael Pablo Paredes Gomez; 57; 41; 20/07/1986; 20/07/2027; 3; 1(A); A13; Alto; 1 Hora(s); Homicidio
PPL 54; 5134516057; Victor Diego Romero Ramirez; 50; 21; 06/03/2005; 06/03/2026; 2; 1(A); A14; Alto; 1 Hora(s); Narcotrafico
PPL 55; 5332850355; Gonzalo Julian Torres Ramirez; 36; 16; 26/02/2023; 26/02/2039; 15; 1(A); A15; Alto; 1 Hora(s); Narcotrafico
PPL 56; 6082685210; Roberto Antonio Perero Hidalgo; 43; 7; 14/04/2022; 14/04/2029; 5; 1(A); A16; Alto; 1 Hora(s); Homicidio
PPL 57; 3347188802; Pedro Antonio Paredes Rivera; 36; 20; 18/07/2007; 18/07/2027; 3; 1(A); A17; Alto; 1 Hora(s); Narcotrafico
PPL 58; 9138948484; Mario Adrian Gonzales Espinosa; 57; 41; 06/06/1987; 06/06/2028; 4; 1(A); A18; Alto; 1 Hora(s); Homicidio
PPL 59; 1590945375; Pedro Julian Torres Sanchez; 34; 21; 10/07/2009; 10/07/2030; 6; 1(A); A19; Alto; 1 Hora(s); Homicidio
PPL 60; 1362922945; Fabian Antonio Romero Hidalgo; 53; 39; 03/10/1991; 03/10/2030; 6; 1(A); A20; Alto; 1 Hora(s); Homicidio
PPL 61; 7043331518; Michael Antonio Garcia Morales; 36; 17; 06/02/2019; 06/02/2036; 12; 1(A); A21; Alto; 1 Hora(s); Homicidio
PPL 62; 7161031069; Victor Pablo Guerrero Sanchez; 47; 22; 11/03/2008; 11/03/2030; 6; 1(A); A22; Alto; 1 Hora(s); Homicidio
PPL 63; 6304694225; Pedro Julian Cuenca Hidalgo; 54; 35; 19/05/1992; 19/05/2027; 3; 1(A); A23; Alto; 1 Hora(s); Homicidio
PPL 64; 6360897809; Gonzalo Antonio Cevallos Roman; 50; 29; 11/03/2012; 11/03/2041; 17; 1(A); A24; Alto; 1 Hora(s); Homicidio
PPL 65; 3519046138; Gonzalo Angel Guerrero Reyes; 33; 19; 03/10/2012; 03/10/2031; 7; 1(A); A25; Alto; 1 Hora(s); Homicidio
PPL 66; 6153526939; Michael Julian Cevallos Hidalgo; 51; 36; 17/06/1992; 17/06/2028; 4; 1(A); A26; Alto; 1 Hora(s); Narcotrafico
PPL 67; 2877156013; Mario Julian Romero Sanchez; 30; 10; 28/01/2020; 28/01/2030; 6; 1(A); A27; Alto; 1 Hora(s); Homicidio
PPL 68; 1858395500; Carlos Angel Guerrero Sanchez; 28; 19; 11/06/2017; 11/06/2036; 12; 1(A); A28; Alto; 1 Hora(s); Homicidio
PPL 69; 9843882721; Roberto Adrian Cuenca Reyes; 46; 21; 15/11/2010; 15/11/2031; 7; 1(A); A29; Alto; 1 Hora(s); Narcotrafico
PPL 70; 7335272387; Dario Sergio Cevallos Sanchez; 28; 7; 25/08/2021; 25/08/2028; 4; 1(A); A30; Alto; 1 Hora(s); Narcotrafico
PPL 71; 8129074548; Dario Adrian Garcia Sanchez; 47; 30; 08/08/1997; 08/08/2027; 3; 1(A); A31; Alto; 1 Hora(s); Narcotrafico
PPL 72; 9403693461; Pedro Angel Romero Ramirez; 29; 5; 31/06/2021; 31/06/2026; 2; 1(A); A32; Alto; 1 Hora(s); Narcotrafico
PPL 73; 2611629380; Roberto Sergio Paredes Roman; 52; 32; 04/01/1994; 04/01/2026; 2; 1(A); A33; Alto; 1 Hora(s); Narcotrafico
PPL 74; 7399934937; Fabian Cesar Guerrero Hidalgo; 49; 34; 24/02/1996; 24/02/2030; 6; 1(A); A34; Alto; 1 Hora(s); Homicidio
PPL 75; 7260262419; Roberto Antonio Guerrero Hidalgo; 33; 29; 30/03/2022; 30/03/2051; 27; 1(A); A35; Alto; 1 Hora(s); Homicidio
PPL 76; 4639668682; Pedro Angel Guerrero Rivera; 54; 35; 10/02/1992; 10/02/2027; 3; 1(A); A36; Alto; 1 Hora(s); Narcotrafico
PPL 77; 4360060091; Pedro Cesar Torres Morales; 42; 26; 27/03/2001; 27/03/2027; 3; 1(A); A37; Alto; 1 Hora(s); Homicidio
PPL 78; 4247690198; Victor Antonio Paredes Morales; 44; 29; 22/11/1999; 22/11/2028; 4; 1(A); A38; Alto; 1 Hora(s); Homicidio
PPL 79; 1606896086; Roberto Antonio Cevallos Hidalgo; 30; 23; 24/04/2018; 24/04/2041; 17; 1(A); A39; Alto; 1 Hora(s); Homicidio
PPL 80; 6789045625; Carlos Cesar Perero Reyes; 40; 25; 23/10/2004; 23/10/2029; 5; 1(A); A40; Alto; 1 Hora(s); Homicidio
PPL 81; 6443160695; Pedro Angel Cevallos Ramirez; 46; 20; 25/05/2010; 25/05/2030; 6; 2(B); B1; Medio; 2 Hora(s); Robo
PPL 82; 8682889038; Michael Diego Cuenca Morales; 45; 27; 09/01/1999; 09/01/2026; 2; 2(B); B2; Medio; 2 Hora(s); Evacion de Impuestos
PPL 83; 4511189245; Carlos Adrian Romero Rivera; 47; 30; 09/04/1997; 09/04/2027; 3; 2(B); B3; Medio; 2 Hora(s); Robo
PPL 84; 4479158197; Mario Cesar Gonzales Morales; 44; 26; 31/04/2001; 31/04/2027; 3; 2(B); B4; Medio; 2 Hora(s); Robo
PPL 85; 6301325561; Pedro Sergio Torres Morales; 38; 18; 17/06/2010; 17/06/2028; 4; 2(B); B5; Medio; 2 Hora(s); Hurto
PPL 86; 2702673613; Gonzalo Antonio Perero Ramirez; 63; 46; 16/04/1982; 16/04/2028; 4; 2(B); B6; Medio; 2 Hora(s); Hurto
PPL 87; 3077817493; Roberto Diego Romero Gomez; 50; 19; 30/08/2008; 30/08/2027; 3; 2(B); B7; Medio; 2 Hora(s); Evacion de Impuestos
PPL 88; 2042233106; Roberto Sergio Perero Gomez; 45; 29; 18/04/1998; 18/04/2027; 3; 2(B); B8; Medio; 2 Hora(s); Robo
PPL 89; 6833596264; Victor Adrian Romero Sanchez; 64; 44; 03/10/1982; 03/10/2026; 2; 2(B); B9; Medio; 2 Hora(s); Fraude
PPL 90; 3497678603; Michael Antonio Perero Hidalgo; 49; 32; 15/05/1994; 15/05/2026; 2; 2(B); B10; Medio; 2 Hora(s); Evacion de Impuestos
PPL 91; 4956297732; Gonzalo Sergio Garcia Reyes; 43; 27; 01/07/2001; 01/07/2028; 4; 2(B); B11; Medio; 2 Hora(s); Fraude
PPL 92; 4153684880; Carlos Antonio Cuenca Espinosa; 42; 22; 22/06/2008; 22/06/2030; 6; 2(B); B12; Medio; 2 Hora(s); Robo
PPL 93; 8036217384; Pedro Julian Torres Gomez; 45; 27; 05/05/2001; 05/05/2028; 4; 2(B); B13; Medio; 2 Hora(s); Evacion de Impuestos
PPL 94; 7099679625; Roberto Adrian Cevallos Sanchez; 52; 33; 27/03/1993; 27/03/2026; 2; 2(B); B14; Medio; 2 Hora(s); Fraude
PPL 95; 3212777947; Roberto Antonio Garcia Morales; 46; 21; 10/05/2009; 10/05/2030; 6; 2(B); B15; Medio; 2 Hora(s); Robo
PPL 96; 2195123430; Michael Adrian Guerrero Sanchez; 45; 25; 04/04/2001; 04/04/2026; 2; 2(B); B16; Medio; 2 Hora(s); Evacion de Impuestos
PPL 97; 5303459585; Dario Angel Guerrero Morales; 52; 35; 08/01/1991; 08/01/2026; 2; 2(B); B17; Medio; 2 Hora(s); Evacion de Impuestos
PPL 98; 2334472268; Fabian Pablo Torres Espinosa; 30; 8; 12/02/2022; 12/02/2030; 6; 2(B); B18; Medio; 2 Hora(s); Robo
PPL 99; 9967859222; Victor Diego Cuenca Ramirez; 46; 16; 24/04/2021; 24/04/2037; 13; 2(B); B19; Medio; 2 Hora(s); Robo
PPL 100; 9963251112; Roberto Antonio Perero Gomez; 60; 42; 29/09/1984; 29/09/2026; 2; 2(B); B20; Medio; 2 Hora(s); Hurto
PPL 101; 2026276567; Roberto Antonio Torres Morales; 48; 26; 12/03/2015; 12/03/2041; 17; 2(B); B21; Medio; 2 Hora(s); Fraude
PPL 102; 4713417439; Mario Julian Paredes Morales; 44; 27; 12/04/2001; 12/04/2028; 4; 2(B); B22; Medio; 2 Hora(s); Evacion de Impuestos
PPL 103; 5379268412; Gonzalo Cesar Cuenca Gomez; 54; 36; 20/07/1990; 20/07/2026; 2; 2(B); B23; Medio; 2 Hora(s); Robo
PPL 104; 9381853575; Roberto Antonio Paredes Roman; 49; 32; 02/11/1996; 02/11/2028; 4; 2(B); B24; Medio; 2 Hora(s); Robo
PPL 105; 1329552523; Carlos Paulo Garcia Gomez; 59; 42; 19/02/1984; 19/02/2026; 2; 2(B); B25; Medio; 2 Hora(s); Fraude
PPL 106; 8090841921; Mario Sergio Guerrero Rivera; 35; 17; 21/05/2010; 21/05/2027; 3; 2(B); B26; Medio; 2 Hora(s); Fraude
PPL 107; 2199637484; Victor Paulo Guerrero Rivera; 58; 44; 27/03/1985; 27/03/2029; 5; 2(B); B27; Medio; 2 Hora(s); Hurto
PPL 108; 2508147033; Gonzalo Pablo Paredes Gomez; 42; 7; 04/10/2018; 04/10/2025; 1; 2(B); B28; Medio; 2 Hora(s); Hurto
PPL 109; 7110923078; Mario Antonio Cevallos Hidalgo; 51; 34; 23/02/1995; 23/02/2029; 5; 2(B); B29; Medio; 2 Hora(s); Evacion de Impuestos
PPL 110; 6448744173; Fabian Diego Guerrero Ramirez; 58; 42; 28/11/1986; 28/11/2028; 4; 2(B); B30; Medio; 2 Hora(s); Hurto
PPL 111; 4914665964; Dario Angel Torres Reyes; 49; 32; 08/12/1994; 08/12/2026; 2; 2(B); B31; Medio; 2 Hora(s); Fraude
PPL 112; 7963342205; Dario Antonio Guerrero Ramirez; 31; 24; 22/06/2023; 22/06/2047; 23; 2(B); B32; Medio; 2 Hora(s); Fraude
PPL 113; 3724168333; Michael Pablo Perero Sanchez; 59; 43; 19/11/1986; 19/11/2029; 5; 2(B); B33; Medio; 2 Hora(s); Evacion de Impuestos
PPL 114; 6162840355; Carlos Antonio Cevallos Reyes; 52; 34; 10/01/1993; 10/01/2027; 3; 2(B); B34; Medio; 2 Hora(s); Robo
PPL 115; 5123754570; Michael Pablo Paredes Sanchez; 43; 27; 17/11/2001; 17/11/2028; 4; 2(B); B35; Medio; 2 Hora(s); Fraude
PPL 116; 4360040469; Mario Julian Paredes Reyes; 54; 41; 12/06/1989; 12/06/2030; 6; 2(B); B36; Medio; 2 Hora(s); Hurto
PPL 117; 3037317972; Gonzalo Pablo Paredes Gomez; 50; 16; 07/12/2023; 07/12/2039; 15; 2(B); B37; Medio; 2 Hora(s); Fraude
PPL 118; 5412985224; Roberto Adrian Perero Rivera; 41; 25; 18/12/2002; 18/12/2027; 3; 2(B); B38; Medio; 2 Hora(s); Evacion de Impuestos
PPL 119; 3909773169; Gonzalo Paulo Romero Morales; 48; 11; 27/09/2015; 27/09/2026; 2; 2(B); B39; Medio; 2 Hora(s); Hurto
PPL 120; 5749289368; Gonzalo Antonio Paredes Reyes; 45; 13; 29/09/2013; 29/09/2026; 2; 2(B); B40; Medio; 2 Hora(s); Robo
PPL 121; 6572762626; Dario Diego Guerrero Reyes; 62; 42; 04/02/1984; 04/02/2026; 2; 2(B); B41; Medio; 2 Hora(s); Fraude
PPL 122; 9757766737; Roberto Angel Cuenca Sanchez; 29; 24; 05/09/2014; 05/09/2038; 14; 2(B); B42; Medio; 2 Hora(s); Hurto
PPL 123; 9138655578; Gonzalo Angel Paredes Gomez; 40; 19; 02/02/2007; 02/02/2026; 2; 2(B); B43; Medio; 2 Hora(s); Hurto
PPL 124; 5857976841; Michael Angel Paredes Ramirez; 52; 37; 15/05/1991; 15/05/2028; 4; 2(B); B44; Medio; 2 Hora(s); Evacion de Impuestos
PPL 125; 2992364356; Carlos Paulo Cevallos Gomez; 29; 16; 11/12/2017; 11/12/2033; 9; 2(B); B45; Medio; 2 Hora(s); Hurto
PPL 126; 1973556092; Michael Sergio Cevallos Rivera; 38; 19; 09/07/2016; 09/07/2035; 11; 2(B); B46; Medio; 2 Hora(s); Hurto
PPL 127; 2941249185; Roberto Paulo Garcia Morales; 64; 49; 10/07/1980; 10/07/2029; 5; 2(B); B47; Medio; 2 Hora(s); Hurto
PPL 128; 7677647279; Michael Angel Romero Ramirez; 42; 22; 06/02/2005; 06/02/2027; 3; 2(B); B48; Medio; 2 Hora(s); Robo
PPL 129; 6314966924; Gonzalo Julian Romero Ramirez; 30; 16; 10/06/2014; 10/06/2030; 6; 2(B); B49; Medio; 2 Hora(s); Evacion de Impuestos
PPL 130; 2751225343; Roberto Julian Torres Rivera; 29; 16; 11/10/2014; 11/10/2030; 6; 2(B); B50; Medio; 2 Hora(s); Hurto
PPL 131; 3019217370; Michael Pablo Cuenca Morales; 51; 36; 22/02/1993; 22/02/2029; 5; 2(B); B51; Medio; 2 Hora(s); Fraude
PPL 132; 5819543011; Mario Diego Cuenca Morales; 62; 45; 16/11/1983; 16/11/2028; 4; 2(B); B52; Medio; 2 Hora(s); Robo
PPL 133; 7348823978; Carlos Angel Cevallos Rivera; 44; 31; 27/02/1999; 27/02/2030; 6; 2(B); B53; Medio; 2 Hora(s); Evacion de Impuestos
PPL 134; 9704519803; Gonzalo Pablo Gonzales Gomez; 44; 17; 28/03/2021; 28/03/2038; 14; 2(B); B54; Medio; 2 Hora(s); Evacion de Impuestos
PPL 135; 1284517250; Fabian Pablo Paredes Sanchez; 21; 10; 26/06/2023; 26/06/2033; 9; 2(B); B55; Medio; 2 Hora(s); Fraude
PPL 136; 7551529085; Gonzalo Antonio Romero Morales; 61; 44; 02/08/1985; 02/08/2029; 5; 2(B); B56; Medio; 2 Hora(s); Fraude
PPL 137; 1403929441; Roberto Julian Romero Espinosa; 48; 19; 11/05/2007; 11/05/2026; 2; 2(B); B57; Medio; 2 Hora(s); Hurto
PPL 138; 9849192918; Pedro Antonio Perero Espinosa; 42; 30; 22/05/2004; 22/05/2034; 10; 2(B); B58; Medio; 2 Hora(s); Robo
PPL 139; 7092366082; Mario Julian Paredes Hidalgo; 43; 21; 22/02/2006; 22/02/2027; 3; 2(B); B59; Medio; 2 Hora(s); Hurto
PPL 140; 9488731205; Fabian Antonio Perero Espinosa; 58; 45; 22/07/1985; 22/07/2030; 6; 2(B); B60; Medio; 2 Hora(s); Fraude
PPL 141; 5313614289; Dario Adrian Gonzales Roman; 34; 15; 29/12/2013; 29/12/2028; 4; 2(B); B61; Medio; 2 Hora(s); Fraude
PPL 142; 1675054655; Victor Angel Paredes Hidalgo; 43; 29; 05/05/2002; 05/05/2031; 7; 2(B); B62; Medio; 2 Hora(s); Evacion de Impuestos
PPL 143; 1104923283; Dario Antonio Cuenca Gomez; 54; 39; 01/08/1989; 01/08/2028; 4; 2(B); B63; Medio; 2 Hora(s); Fraude
PPL 144; 2334898616; Carlos Julian Cuenca Roman; 48; 11; 23/01/2020; 23/01/2031; 7; 2(B); B64; Medio; 2 Hora(s); Hurto
PPL 145; 6079658870; Dario Pablo Cevallos Ramirez; 58; 39; 03/09/1988; 03/09/2027; 3; 2(B); B65; Medio; 2 Hora(s); Fraude
PPL 146; 1221298082; Pedro Adrian Paredes Morales; 58; 41; 27/07/1985; 27/07/2026; 2; 2(B); B66; Medio; 2 Hora(s); Evacion de Impuestos
PPL 147; 4517917777; Victor Adrian Gonzales Hidalgo; 47; 28; 08/10/1998; 08/10/2026; 2; 2(B); B67; Medio; 2 Hora(s); Robo
PPL 148; 6246086664; Carlos Sergio Romero Gomez; 35; 24; 13/03/2008; 13/03/2032; 8; 2(B); B68; Medio; 2 Hora(s); Robo
PPL 149; 1951659692; Michael Antonio Cuenca Rivera; 50; 31; 30/02/1996; 30/02/2027; 3; 2(B); B69; Medio; 2 Hora(s); Evacion de Impuestos
PPL 150; 8820657569; Gonzalo Diego Garcia Hidalgo; 44; 23; 04/05/2005; 04/05/2028; 4; 2(B); B70; Medio; 2 Hora(s); Evacion de Impuestos
PPL 151; 2110580759; Roberto Angel Garcia Reyes; 22; 9; 22/12/2021; 22/12/2030; 6; 2(B); B71; Medio; 2 Hora(s); Robo
PPL 152; 6483987186; Pedro Paulo Paredes Espinosa; 64; 48; 30/03/1980; 30/03/2028; 4; 2(B); B72; Medio; 2 Hora(s); Hurto
PPL 153; 1668134977; Mario Pablo Gonzales Sanchez; 46; 29; 14/04/1997; 14/04/2026; 2; 2(B); B73; Medio; 2 Hora(s); Robo
PPL 154; 5532130187; Michael Angel Romero Rivera; 50; 36; 17/10/1993; 17/10/2029; 5; 2(B); B74; Medio; 2 Hora(s); Evacion de Impuestos
PPL 155; 9449499217; Carlos Adrian Torres Morales; 48; 34; 13/06/1995; 13/06/2029; 5; 2(B); B75; Medio; 2 Hora(s); Robo
PPL 156; 3667714770; Fabian Antonio Romero Rivera; 49; 34; 25/11/1994; 25/11/2028; 4; 2(B); B76; Medio; 2 Hora(s); Fraude
PPL 157; 3010333165; Dario Angel Perero Rivera; 52; 36; 28/10/1991; 28/10/2027; 3; 2(B); B77; Medio; 2 Hora(s); Hurto
PPL 158; 5483768684; Carlos Angel Perero Gomez; 45; 30; 07/08/2000; 07/08/2030; 6; 2(B); B78; Medio; 2 Hora(s); Evacion de Impuestos
PPL 159; 9191656812; Carlos Antonio Torres Hidalgo; 40; 22; 02/03/2006; 02/03/2028; 4; 2(B); B79; Medio; 2 Hora(s); Robo
PPL 160; 7748633025; Victor Paulo Cuenca Hidalgo; 63; 49; 06/12/1980; 06/12/2029; 5; 2(B); B80; Medio; 2 Hora(s); Evacion de Impuestos
PPL 161; 1107872711; Michael Antonio Guerrero Ramirez; 62; 49; 14/08/1981; 14/08/2030; 6; 2(B); B81; Medio; 2 Hora(s); Hurto
PPL 162; 3382910716; Dario Diego Paredes Ramirez; 48; 21; 07/12/2004; 07/12/2025; 1; 2(B); B82; Medio; 2 Hora(s); Hurto
PPL 163; 6269810551; Michael Sergio Perero Espinosa; 41; 20; 21/08/2005; 21/08/2025; 1; 2(B); B83; Medio; 2 Hora(s); Hurto
PPL 164; 5306113526; Roberto Angel Paredes Rivera; 26; 7; 19/12/2020; 19/12/2027; 3; 2(B); B84; Medio; 2 Hora(s); Fraude
PPL 165; 7099423405; Michael Sergio Romero Gomez; 58; 44; 09/01/1985; 09/01/2029; 5; 2(B); B85; Medio; 2 Hora(s); Fraude
PPL 166; 1097381037; Carlos Angel Paredes Rivera; 37; 12; 01/03/2014; 01/03/2026; 2; 2(B); B86; Medio; 2 Hora(s); Fraude
PPL 167; 3492685217; Roberto Cesar Romero Rivera; 58; 45; 30/10/1985; 30/10/2030; 6; 2(B); B87; Medio; 2 Hora(s); Robo
PPL 168; 4099726944; Roberto Antonio Garcia Hidalgo; 30; 29; 30/07/2016; 30/07/2045; 21; 2(B); B88; Medio; 2 Hora(s); Fraude
