#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 441; 9189258902; Fabian Adrian Romero Reyes; 64; 47; 16/10/1980; 16/10/2027; 3; 4(D); D1; Bajo; 4 Hora(s); Escandalo Publico
PPL 520; 3208763909; Victor Pablo Gonzales Sanchez; 42; 23; 22/08/2011; 22/08/2034; 10; 4(D); D80; Bajo; 4 Hora(s); Estafa
PPL 521; 9179546732; Dario Sergio Torres Sanchez; 33; 17; 24/08/2010; 24/08/2027; 3; 4(D); D81; Bajo; 4 Hora(s); Escandalo Publico
PPL 522; 7102397503; Mario Adrian Paredes Reyes; 28; 22; 26/11/2018; 26/11/2040; 16; 4(D); D82; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 523; 1887639632; Dario Sergio Romero Hidalgo; 40; 27; 21/05/2021; 21/05/2048; 24; 4(D); D83; Bajo; 4 Hora(s); Estafa
PPL 524; 6930148272; Victor Adrian Guerrero Sanchez; 34; 22; 27/12/2010; 27/12/2032; 8; 4(D); D84; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 525; 2103356100; Victor Antonio Gonzales Sanchez; 37; 25; 20/07/2016; 20/07/2041; 17; 4(D); D85; Bajo; 4 Hora(s); Estafa
PPL 526; 3886082709; Mario Julian Cevallos Reyes; 59; 40; 26/11/1986; 26/11/2026; 2; 4(D); D86; Bajo; 4 Hora(s); Estafa
PPL 527; 4837521110; Michael Pablo Paredes Roman; 55; 40; 20/06/1988; 20/06/2028; 4; 4(D); D87; Bajo; 4 Hora(s); Estafa
PPL 528; 6669321356; Victor Paulo Perero Sanchez; 47; 29; 10/01/2009; 10/01/2038; 14; 4(D); D88; Bajo; 4 Hora(s); Estafa
PPL 529; 9211395436; Victor Diego Torres Hidalgo; 28; 13; 16/10/2022; 16/10/2035; 11; 4(D); D89; Bajo; 4 Hora(s); Estafa
PPL 530; 2112666703; Carlos Diego Paredes Morales; 23; 16; 06/07/2020; 06/07/2036; 12; 4(D); D90; Bajo; 4 Hora(s); Escandalo Publico
PPL 531; 6625167614; Dario Antonio Guerrero Sanchez; 46; 15; 09/07/2020; 09/07/2035; 11; 4(D); D1; Bajo; 4 Hora(s); Estafa
PPL 532; 8220222903; Roberto Cesar Romero Sanchez; 39; 24; 27/10/2004; 27/10/2028; 4; 4(D); D2; Bajo; 4 Hora(s); Estafa
PPL 533; 1808562262; Fabian Cesar Perero Ramirez; 56; 40; 11/07/1989; 11/07/2029; 5; 4(D); D3; Bajo; 4 Hora(s); Estafa
PPL 534; 8458424284; Carlos Antonio Gonzales Sanchez; 36; 29; 12/02/2007; 12/02/2036; 12; 4(D); D4; Bajo; 4 Hora(s); Escandalo Publico
PPL 535; 9442550366; Victor Adrian Paredes Morales; 32; 24; 04/06/2013; 04/06/2037; 13; 4(D); D5; Bajo; 4 Hora(s); Escandalo Publico
PPL 536; 9894899892; Roberto Julian Cevallos Reyes; 59; 44; 20/11/1985; 20/11/2029; 5; 4(D); D6; Bajo; 4 Hora(s); Escandalo Publico
PPL 537; 5233684013; Dario Julian Gonzales Espinosa; 58; 40; 08/04/1988; 08/04/2028; 4; 4(D); D7; Bajo; 4 Hora(s); Otros
PPL 538; 8560435559; Michael Antonio Cuenca Espinosa; 46; 29; 06/06/1997; 06/06/2026; 2; 4(D); D8; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 539; 2218794295; Michael Angel Perero Roman; 29; 17; 31/02/2024; 31/02/2041; 17; 4(D); D9; Bajo; 4 Hora(s); Estafa
PPL 540; 4130586293; Roberto Angel Guerrero Reyes; 53; 39; 29/11/1990; 29/11/2029; 5; 4(D); D10; Bajo; 4 Hora(s); Otros
PPL 541; 4816610767; Gonzalo Paulo Perero Sanchez; 35; 19; 15/05/2009; 15/05/2028; 4; 4(D); D11; Bajo; 4 Hora(s); Estafa
PPL 542; 4146123478; Victor Antonio Torres Espinosa; 57; 43; 31/05/1987; 31/05/2030; 6; 4(D); D12; Bajo; 4 Hora(s); Escandalo Publico
PPL 543; 6354845138; Dario Adrian Garcia Rivera; 45; 28; 25/10/2002; 25/10/2030; 6; 4(D); D13; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 544; 6437836196; Pedro Pablo Paredes Reyes; 46; 28; 30/04/2002; 30/04/2030; 6; 4(D); D14; Bajo; 4 Hora(s); Escandalo Publico
PPL 545; 7860523916; Pedro Antonio Torres Roman; 43; 28; 27/11/2000; 27/11/2028; 4; 4(D); D15; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 546; 3889468909; Carlos Antonio Torres Hidalgo; 42; 30; 01/09/2001; 01/09/2031; 7; 4(D); D16; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 547; 3674169558; Fabian Antonio Guerrero Morales; 57; 44; 12/06/1986; 12/06/2030; 6; 4(D); D17; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 548; 1064337978; Michael Diego Garcia Sanchez; 48; 29; 30/12/1997; 30/12/2026; 2; 4(D); D18; Bajo; 4 Hora(s); Escandalo Publico
PPL 549; 2921312843; Fabian Cesar Perero Gomez; 39; 8; 31/11/2018; 31/11/2026; 2; 4(D); D19; Bajo; 4 Hora(s); Escandalo Publico
PPL 550; 2661942158; Roberto Adrian Cuenca Espinosa; 48; 32; 15/07/1997; 15/07/2029; 5; 4(D); D20; Bajo; 4 Hora(s); Escandalo Publico
PPL 551; 2571951601; Dario Sergio Paredes Reyes; 51; 35; 26/05/1994; 26/05/2029; 5; 4(D); D21; Bajo; 4 Hora(s); Otros
PPL 552; 1355951831; Michael Diego Cevallos Sanchez; 46; 28; 14/08/2022; 14/08/2050; 26; 4(D); D22; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 553; 1413179513; Fabian Paulo Garcia Reyes; 25; 9; 17/12/2019; 17/12/2028; 4; 4(D); D23; Bajo; 4 Hora(s); Otros
PPL 554; 4119615455; Gonzalo Sergio Cuenca Sanchez; 63; 46; 08/10/1982; 08/10/2028; 4; 4(D); D24; Bajo; 4 Hora(s); Estafa
PPL 555; 5034866557; Pedro Antonio Paredes Morales; 55; 39; 27/04/1991; 27/04/2030; 6; 4(D); D25; Bajo; 4 Hora(s); Escandalo Publico
PPL 556; 1563875114; Roberto Angel Cuenca Reyes; 59; 43; 04/04/1984; 04/04/2027; 3; 4(D); D26; Bajo; 4 Hora(s); Estafa
PPL 557; 6427048292; Michael Pablo Guerrero Espinosa; 57; 38; 17/06/1989; 17/06/2027; 3; 4(D); D27; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 558; 8665360175; Gonzalo Antonio Romero Hidalgo; 27; 26; 16/08/2017; 16/08/2043; 19; 4(D); D28; Bajo; 4 Hora(s); Otros
PPL 559; 8875291115; Dario Adrian Paredes Roman; 31; 14; 04/03/2013; 04/03/2027; 3; 4(D); D29; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 560; 4562161461; Dario Julian Romero Hidalgo; 58; 41; 27/06/1986; 27/06/2027; 3; 4(D); D30; Bajo; 4 Hora(s); Otros
PPL 561; 8194925539; Carlos Adrian Paredes Hidalgo; 48; 29; 02/08/2006; 02/08/2035; 11; 4(D); D31; Bajo; 4 Hora(s); Escandalo Publico
PPL 562; 8214537333; Michael Cesar Gonzales Sanchez; 41; 21; 10/06/2005; 10/06/2026; 2; 4(D); D32; Bajo; 4 Hora(s); Escandalo Publico
PPL 563; 1571314493; Roberto Cesar Paredes Sanchez; 55; 38; 28/04/1989; 28/04/2027; 3; 4(D); D33; Bajo; 4 Hora(s); Otros
PPL 564; 5843233254; Fabian Pablo Cevallos Hidalgo; 57; 44; 11/02/1986; 11/02/2030; 6; 4(D); D34; Bajo; 4 Hora(s); Estafa
PPL 565; 8766121452; Roberto Julian Cuenca Gomez; 38; 12; 21/05/2015; 21/05/2027; 3; 4(D); D35; Bajo; 4 Hora(s); Otros
PPL 566; 4410112412; Pedro Julian Paredes Espinosa; 48; 30; 26/04/1997; 26/04/2027; 3; 4(D); D36; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 567; 3470646632; Victor Paulo Torres Roman; 34; 8; 01/02/2019; 01/02/2027; 3; 4(D); D37; Bajo; 4 Hora(s); Estafa
PPL 568; 5626738674; Dario Cesar Romero Morales; 45; 28; 11/08/1998; 11/08/2026; 2; 4(D); D38; Bajo; 4 Hora(s); Estafa
PPL 569; 8637993036; Carlos Adrian Torres Sanchez; 51; 35; 09/07/1992; 09/07/2027; 3; 4(D); D39; Bajo; 4 Hora(s); Otros
PPL 570; 6116555997; Fabian Diego Perero Gomez; 40; 25; 16/01/2005; 16/01/2030; 6; 4(D); D40; Bajo; 4 Hora(s); Escandalo Publico
PPL 571; 4121320222; Carlos Diego Paredes Sanchez; 44; 20; 11/04/2006; 11/04/2026; 2; 4(D); D41; Bajo; 4 Hora(s); Estafa
PPL 572; 6037077554; Roberto Adrian Gonzales Morales; 46; 17; 04/03/2009; 04/03/2026; 2; 4(D); D42; Bajo; 4 Hora(s); Otros
PPL 573; 7465056850; Fabian Sergio Paredes Roman; 57; 42; 10/07/1986; 10/07/2028; 4; 4(D); D43; Bajo; 4 Hora(s); Estafa
PPL 574; 9325116193; Gonzalo Paulo Cevallos Reyes; 33; 21; 30/04/2022; 30/04/2043; 19; 4(D); D44; Bajo; 4 Hora(s); Escandalo Publico
PPL 575; 7165670359; Carlos Antonio Garcia Espinosa; 57; 40; 06/03/1986; 06/03/2026; 2; 4(D); D45; Bajo; 4 Hora(s); Escandalo Publico
PPL 576; 6618052722; Carlos Antonio Garcia Hidalgo; 43; 23; 07/01/2002; 07/01/2025; 1; 4(D); D46; Bajo; 4 Hora(s); Otros
PPL 577; 1143895262; Roberto Sergio Paredes Sanchez; 47; 31; 23/07/1996; 23/07/2027; 3; 4(D); D47; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 578; 9906851610; Carlos Cesar Gonzales Sanchez; 50; 35; 09/01/1993; 09/01/2028; 4; 4(D); D48; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 579; 5036062317; Roberto Sergio Guerrero Sanchez; 35; 17; 06/02/2010; 06/02/2027; 3; 4(D); D49; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 580; 4697696309; Fabian Angel Gonzales Ramirez; 49; 32; 03/02/1996; 03/02/2028; 4; 4(D); D50; Bajo; 4 Hora(s); Estafa
PPL 581; 4872888466; Gonzalo Julian Romero Espinosa; 43; 29; 02/04/2000; 02/04/2029; 5; 4(D); D51; Bajo; 4 Hora(s); Otros
PPL 582; 2788233097; Fabian Antonio Romero Roman; 59; 45; 08/08/1984; 08/08/2029; 5; 4(D); D52; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 583; 4281425989; Victor Cesar Torres Gomez; 45; 31; 22/12/1998; 22/12/2029; 5; 4(D); D53; Bajo; 4 Hora(s); Escandalo Publico
PPL 584; 9363521227; Dario Julian Gonzales Espinosa; 36; 21; 07/02/2015; 07/02/2036; 12; 4(D); D54; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 585; 7897432188; Roberto Cesar Cevallos Morales; 59; 43; 21/01/1987; 21/01/2030; 6; 4(D); D55; Bajo; 4 Hora(s); Escandalo Publico
PPL 586; 4472189663; Roberto Antonio Paredes Ramirez; 36; 17; 23/11/2021; 23/11/2038; 14; 4(D); D56; Bajo; 4 Hora(s); Otros
PPL 587; 8358793752; Michael Pablo Torres Ramirez; 49; 35; 22/11/1994; 22/11/2029; 5; 4(D); D57; Bajo; 4 Hora(s); Escandalo Publico
PPL 588; 7987694398; Gonzalo Diego Paredes Reyes; 63; 49; 14/10/1980; 14/10/2029; 5; 4(D); D58; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 589; 2167049088; Victor Adrian Paredes Sanchez; 62; 45; 22/08/1982; 22/08/2027; 3; 4(D); D59; Bajo; 4 Hora(s); Otros
PPL 590; 2923291445; Gonzalo Antonio Romero Espinosa; 43; 9; 25/09/2020; 25/09/2029; 5; 4(D); D60; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 591; 2132982904; Gonzalo Pablo Cuenca Espinosa; 60; 44; 03/06/1985; 03/06/2029; 5; 4(D); D61; Bajo; 4 Hora(s); Estafa
PPL 592; 6688634824; Fabian Pablo Torres Roman; 50; 33; 27/01/1993; 27/01/2026; 2; 4(D); D62; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 593; 4129956182; Mario Sergio Garcia Gomez; 44; 11; 04/07/2021; 04/07/2032; 8; 4(D); D63; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 594; 2386229775; Roberto Antonio Paredes Gomez; 45; 29; 21/05/1998; 21/05/2027; 3; 4(D); D64; Bajo; 4 Hora(s); Otros
PPL 595; 2598457658; Roberto Diego Paredes Espinosa; 46; 22; 02/02/2014; 02/02/2036; 12; 4(D); D65; Bajo; 4 Hora(s); Escandalo Publico
PPL 596; 7081399981; Carlos Angel Cevallos Gomez; 33; 18; 18/01/2010; 18/01/2028; 4; 4(D); D66; Bajo; 4 Hora(s); Otros
PPL 597; 9162674104; Mario Paulo Cevallos Ramirez; 49; 30; 12/03/1997; 12/03/2027; 3; 4(D); D67; Bajo; 4 Hora(s); Estafa
PPL 598; 8591233288; Roberto Paulo Paredes Gomez; 30; 16; 27/06/2021; 27/06/2037; 13; 4(D); D68; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 599; 8324774637; Roberto Antonio Paredes Sanchez; 37; 25; 22/11/2006; 22/11/2031; 7; 4(D); D69; Bajo; 4 Hora(s); Escandalo Publico
PPL 600; 9168537360; Carlos Paulo Paredes Gomez; 50; 34; 24/01/1994; 24/01/2028; 4; 4(D); D70; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 601; 9600124145; Michael Antonio Perero Morales; 52; 39; 13/04/1991; 13/04/2030; 6; 4(D); D71; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 602; 9288342942; Mario Antonio Cevallos Ramirez; 57; 40; 15/10/1988; 15/10/2028; 4; 4(D); D72; Bajo; 4 Hora(s); Invacion de Propiedad Privada
